candidate_id,restaurant_name,current_image_url,source_provider,source_type,owner_promotional_image_likely,third_party_indicator,watermark_or_credit,operational_risk,recommended_action,decision_reason
busan-F-00001,만드리곤드레밥,https://www.visitbusan.net/uploadImgs/files/cntnts/20191209162810545_ttiel,부산관광공사_VisitBusan,foodservice_and_visitbusan_content,yes,unknown,unknown,low,use_as_official_promotional_image,FoodService API + VisitBusan 공식 콘텐츠 이중 소스 확인. 공식 음식점 홍보 이미지 추정 기준 충족. 이미지 직접 검수 미실시 — 법적 라이선스 미확정.
busan-F-00002,만호갈미샤브샤브,https://www.visitbusan.net/uploadImgs/files/cntnts/20250515120924874_ttiel,부산관광공사_VisitBusan,foodservice_and_visitbusan_content,yes,unknown,unknown,low,use_as_official_promotional_image,FoodService API + VisitBusan 공식 콘텐츠 이중 소스 확인. 공식 음식점 홍보 이미지 추정 기준 충족. 이미지 직접 검수 미실시 — 법적 라이선스 미확정.
busan-F-00003,민물가든,https://www.visitbusan.net/uploadImgs/files/cntnts/20191217101816206_ttiel,부산관광공사_VisitBusan,foodservice_and_visitbusan_content,yes,unknown,unknown,low,use_as_official_promotional_image,FoodService API + VisitBusan 공식 콘텐츠 이중 소스 확인. 공식 음식점 홍보 이미지 추정 기준 충족. 이미지 직접 검수 미실시 — 법적 라이선스 미확정.
busan-F-00004,부흥식당,https://www.visitbusan.net/uploadImgs/files/cntnts/20240418142402873_ttiel,부산관광공사_VisitBusan,foodservice_and_visitbusan_content,yes,unknown,unknown,low,use_as_official_promotional_image,FoodService API + VisitBusan 공식 콘텐츠 이중 소스 확인. 공식 음식점 홍보 이미지 추정 기준 충족. 이미지 직접 검수 미실시 — 법적 라이선스 미확정.
busan-F-00005,사미헌,https://www.visitbusan.net/uploadImgs/files/cntnts/20240417140858880_ttiel,부산관광공사_VisitBusan,foodservice_and_visitbusan_content,yes,unknown,unknown,low,use_as_official_promotional_image,FoodService API + VisitBusan 공식 콘텐츠 이중 소스 확인. 공식 음식점 홍보 이미지 추정 기준 충족. 이미지 직접 검수 미실시 — 법적 라이선스 미확정.
busan-F-00006,원조할매집,https://www.visitbusan.net/uploadImgs/files/cntnts/20240417143908074_ttiel,부산관광공사_VisitBusan,foodservice_and_visitbusan_content,yes,unknown,unknown,low,use_as_official_promotional_image,FoodService API + VisitBusan 공식 콘텐츠 이중 소스 확인. 공식 음식점 홍보 이미지 추정 기준 충족. 이미지 직접 검수 미실시 — 법적 라이선스 미확정.
busan-F-00007,가야할매밀면,https://www.visitbusan.net/uploadImgs/files/cntnts/20191217201857896_ttiel,부산관광공사_VisitBusan,foodservice_and_visitbusan_content,yes,unknown,unknown,low,use_as_official_promotional_image,FoodService API + VisitBusan 공식 콘텐츠 이중 소스 확인. 공식 음식점 홍보 이미지 추정 기준 충족. 이미지 직접 검수 미실시 — 법적 라이선스 미확정.
busan-F-00008,국제밀면본점,https://www.visitbusan.net/uploadImgs/files/cntnts/20240418134454110_ttiel,부산관광공사_VisitBusan,foodservice_and_visitbusan_content,yes,unknown,unknown,low,use_as_official_promotional_image,FoodService API + VisitBusan 공식 콘텐츠 이중 소스 확인. 공식 음식점 홍보 이미지 추정 기준 충족. 이미지 직접 검수 미실시 — 법적 라이선스 미확정.
busan-F-00009,할매가야밀면,https://www.visitbusan.net/uploadImgs/files/cntnts/20230605153300303_ttiel,부산관광공사_VisitBusan,foodservice_and_visitbusan_content,yes,unknown,unknown,low,use_as_official_promotional_image,FoodService API + VisitBusan 공식 콘텐츠 이중 소스 확인. 공식 음식점 홍보 이미지 추정 기준 충족. 이미지 직접 검수 미실시 — 법적 라이선스 미확정.
busan-F-00010,거인통닭,https://www.visitbusan.net/uploadImgs/files/cntnts/20240419092440105_ttiel,부산관광공사_VisitBusan,foodservice_and_visitbusan_content,yes,unknown,unknown,low,use_as_official_promotional_image,FoodService API + VisitBusan 공식 콘텐츠 이중 소스 확인. 공식 음식점 홍보 이미지 추정 기준 충족. 이미지 직접 검수 미실시 — 법적 라이선스 미확정.
busan-F-00011,김해식당,https://www.visitbusan.net/uploadImgs/files/cntnts/20230525160402713_ttiel,부산관광공사_VisitBusan,foodservice_and_visitbusan_content,yes,unknown,unknown,low,use_as_official_promotional_image,FoodService API + VisitBusan 공식 콘텐츠 이중 소스 확인. 공식 음식점 홍보 이미지 추정 기준 충족. 이미지 직접 검수 미실시 — 법적 라이선스 미확정.
busan-F-00012,물꽁식당,https://www.visitbusan.net/uploadImgs/files/cntnts/20240419094840707_ttiel,부산관광공사_VisitBusan,foodservice_and_visitbusan_content,yes,unknown,unknown,low,use_as_official_promotional_image,FoodService API + VisitBusan 공식 콘텐츠 이중 소스 확인. 공식 음식점 홍보 이미지 추정 기준 충족. 이미지 직접 검수 미실시 — 법적 라이선스 미확정.
busan-F-00013,부산명물횟집,https://www.visitbusan.net/uploadImgs/files/cntnts/20240419101804650_ttiel,부산관광공사_VisitBusan,foodservice_and_visitbusan_content,yes,unknown,unknown,low,use_as_official_promotional_image,FoodService API + VisitBusan 공식 콘텐츠 이중 소스 확인. 공식 음식점 홍보 이미지 추정 기준 충족. 이미지 직접 검수 미실시 — 법적 라이선스 미확정.
busan-F-00014,부산꼼장어맛집 성일집,https://www.visitbusan.net/uploadImgs/files/cntnts/20240419100256721_ttiel,부산관광공사_VisitBusan,foodservice_and_visitbusan_content,yes,unknown,unknown,low,use_as_official_promotional_image,FoodService API + VisitBusan 공식 콘텐츠 이중 소스 확인. 공식 음식점 홍보 이미지 추정 기준 충족. 이미지 직접 검수 미실시 — 법적 라이선스 미확정.
busan-F-00015,이재모피자 본점,https://www.visitbusan.net/uploadImgs/files/cntnts/20240419113018528_ttiel,부산관광공사_VisitBusan,foodservice_and_visitbusan_content,yes,unknown,unknown,low,use_as_official_promotional_image,FoodService API + VisitBusan 공식 콘텐츠 이중 소스 확인. 공식 음식점 홍보 이미지 추정 기준 충족. 이미지 직접 검수 미실시 — 법적 라이선스 미확정.
busan-F-00016,모모스커피,https://www.visitbusan.net/uploadImgs/files/cntnts/20250515123503040_ttiel,부산관광공사_VisitBusan,foodservice_and_visitbusan_content,yes,unknown,unknown,low,use_as_official_promotional_image,FoodService API + VisitBusan 공식 콘텐츠 이중 소스 확인. 공식 음식점 홍보 이미지 추정 기준 충족. 이미지 직접 검수 미실시 — 법적 라이선스 미확정.
busan-F-00017,배비장보쌈구서본점,https://www.visitbusan.net/uploadImgs/files/cntnts/20230608145054469_ttiel,부산관광공사_VisitBusan,foodservice_and_visitbusan_content,yes,unknown,unknown,low,use_as_official_promotional_image,FoodService API + VisitBusan 공식 콘텐츠 이중 소스 확인. 공식 음식점 홍보 이미지 추정 기준 충족. 이미지 직접 검수 미실시 — 법적 라이선스 미확정.
busan-F-00018,장수장 꼬리곰탕,https://www.visitbusan.net/uploadImgs/files/cntnts/20230607170754019_ttiel,부산관광공사_VisitBusan,foodservice_and_visitbusan_content,yes,unknown,unknown,low,use_as_official_promotional_image,FoodService API + VisitBusan 공식 콘텐츠 이중 소스 확인. 공식 음식점 홍보 이미지 추정 기준 충족. 이미지 직접 검수 미실시 — 법적 라이선스 미확정.
busan-F-00019,거대갈비,https://www.visitbusan.net/uploadImgs/files/cntnts/20240419125908808_ttiel,부산관광공사_VisitBusan,foodservice_and_visitbusan_content,yes,unknown,unknown,low,use_as_official_promotional_image,FoodService API + VisitBusan 공식 콘텐츠 이중 소스 확인. 공식 음식점 홍보 이미지 추정 기준 충족. 이미지 직접 검수 미실시 — 법적 라이선스 미확정.
busan-F-00020,금수복국 해운대본점,https://www.visitbusan.net/uploadImgs/files/cntnts/20240419130448560_ttiel,부산관광공사_VisitBusan,foodservice_and_visitbusan_content,yes,unknown,unknown,low,use_as_official_promotional_image,FoodService API + VisitBusan 공식 콘텐츠 이중 소스 확인. 공식 음식점 홍보 이미지 추정 기준 충족. 이미지 직접 검수 미실시 — 법적 라이선스 미확정.
busan-F-00021,다온 한정식,https://www.visitbusan.net/uploadImgs/files/cntnts/20191219100305084_ttiel,부산관광공사_VisitBusan,foodservice_and_visitbusan_content,yes,unknown,unknown,low,use_as_official_promotional_image,FoodService API + VisitBusan 공식 콘텐츠 이중 소스 확인. 공식 음식점 홍보 이미지 추정 기준 충족. 이미지 직접 검수 미실시 — 법적 라이선스 미확정.
busan-F-00022,동백섬횟집,https://www.visitbusan.net/uploadImgs/files/cntnts/20240419134206865_ttiel,부산관광공사_VisitBusan,foodservice_and_visitbusan_content,yes,unknown,unknown,low,use_as_official_promotional_image,FoodService API + VisitBusan 공식 콘텐츠 이중 소스 확인. 공식 음식점 홍보 이미지 추정 기준 충족. 이미지 직접 검수 미실시 — 법적 라이선스 미확정.
busan-F-00023,르꽁비브,https://www.visitbusan.net/uploadImgs/files/cntnts/20191219101750249_ttiel,부산관광공사_VisitBusan,foodservice_and_visitbusan_content,yes,unknown,unknown,low,use_as_official_promotional_image,FoodService API + VisitBusan 공식 콘텐츠 이중 소스 확인. 공식 음식점 홍보 이미지 추정 기준 충족. 이미지 직접 검수 미실시 — 법적 라이선스 미확정.
busan-F-00024,파니니브런치본점,https://www.visitbusan.net/uploadImgs/files/cntnts/20230531123640913_ttiel,부산관광공사_VisitBusan,foodservice_and_visitbusan_content,yes,unknown,unknown,low,use_as_official_promotional_image,FoodService API + VisitBusan 공식 콘텐츠 이중 소스 확인. 공식 음식점 홍보 이미지 추정 기준 충족. 이미지 직접 검수 미실시 — 법적 라이선스 미확정.
busan-F-00025,문스시,https://www.visitbusan.net/uploadImgs/files/cntnts/20200818130348030_ttiel,부산관광공사_VisitBusan,foodservice_and_visitbusan_content,yes,unknown,unknown,low,use_as_official_promotional_image,FoodService API + VisitBusan 공식 콘텐츠 이중 소스 확인. 공식 음식점 홍보 이미지 추정 기준 충족. 이미지 직접 검수 미실시 — 법적 라이선스 미확정.
busan-F-00026,할매재첩국집,https://www.visitbusan.net/uploadImgs/files/cntnts/20230608100341246_ttiel,부산관광공사_VisitBusan,foodservice_and_visitbusan_content,yes,unknown,unknown,low,use_as_official_promotional_image,FoodService API + VisitBusan 공식 콘텐츠 이중 소스 확인. 공식 음식점 홍보 이미지 추정 기준 충족. 이미지 직접 검수 미실시 — 법적 라이선스 미확정.
busan-F-00027,예이제,https://www.visitbusan.net/uploadImgs/files/cntnts/20240419174000260_ttiel,부산관광공사_VisitBusan,foodservice_and_visitbusan_content,yes,unknown,unknown,low,use_as_official_promotional_image,FoodService API + VisitBusan 공식 콘텐츠 이중 소스 확인. 공식 음식점 홍보 이미지 추정 기준 충족. 이미지 직접 검수 미실시 — 법적 라이선스 미확정.
busan-F-00028,합천일류돼지국밥,https://www.visitbusan.net/uploadImgs/files/cntnts/20230605170838962_ttiel,부산관광공사_VisitBusan,foodservice_and_visitbusan_content,yes,unknown,unknown,low,use_as_official_promotional_image,FoodService API + VisitBusan 공식 콘텐츠 이중 소스 확인. 공식 음식점 홍보 이미지 추정 기준 충족. 이미지 직접 검수 미실시 — 법적 라이선스 미확정.
busan-F-00029,원조석대추어탕,https://www.visitbusan.net/uploadImgs/files/cntnts/20191219104936271_ttiel,부산관광공사_VisitBusan,foodservice_and_visitbusan_content,yes,unknown,unknown,low,use_as_official_promotional_image,FoodService API + VisitBusan 공식 콘텐츠 이중 소스 확인. 공식 음식점 홍보 이미지 추정 기준 충족. 이미지 직접 검수 미실시 — 법적 라이선스 미확정.
busan-F-00030,웨이브온커피,https://www.visitbusan.net/uploadImgs/files/cntnts/20240416143124508_ttiel,부산관광공사_VisitBusan,foodservice_and_visitbusan_content,yes,unknown,unknown,low,use_as_official_promotional_image,FoodService API + VisitBusan 공식 콘텐츠 이중 소스 확인. 공식 음식점 홍보 이미지 추정 기준 충족. 이미지 직접 검수 미실시 — 법적 라이선스 미확정.
busan-F-00031,대티물꽁,https://www.visitbusan.net/uploadImgs/files/cntnts/20240417163511863_ttiel,부산관광공사_VisitBusan,foodservice_and_visitbusan_content,yes,unknown,unknown,low,use_as_official_promotional_image,FoodService API + VisitBusan 공식 콘텐츠 이중 소스 확인. 공식 음식점 홍보 이미지 추정 기준 충족. 이미지 직접 검수 미실시 — 법적 라이선스 미확정.
busan-F-00032,원조18번완당,https://www.visitbusan.net/uploadImgs/files/cntnts/20240418090456625_ttiel,부산관광공사_VisitBusan,foodservice_and_visitbusan_content,yes,unknown,unknown,low,use_as_official_promotional_image,FoodService API + VisitBusan 공식 콘텐츠 이중 소스 확인. 공식 음식점 홍보 이미지 추정 기준 충족. 이미지 직접 검수 미실시 — 법적 라이선스 미확정.
busan-F-00033,할매복국,https://www.visitbusan.net/uploadImgs/files/cntnts/20191219134018171_ttiel,부산관광공사_VisitBusan,foodservice_and_visitbusan_content,yes,unknown,unknown,low,use_as_official_promotional_image,FoodService API + VisitBusan 공식 콘텐츠 이중 소스 확인. 공식 음식점 홍보 이미지 추정 기준 충족. 이미지 직접 검수 미실시 — 법적 라이선스 미확정.
busan-F-00034,젠스시,https://www.visitbusan.net/uploadImgs/files/cntnts/20240422090815838_ttiel,부산관광공사_VisitBusan,foodservice_and_visitbusan_content,yes,unknown,unknown,low,use_as_official_promotional_image,FoodService API + VisitBusan 공식 콘텐츠 이중 소스 확인. 공식 음식점 홍보 이미지 추정 기준 충족. 이미지 직접 검수 미실시 — 법적 라이선스 미확정.
busan-F-00035,신창국밥 본점,https://www.visitbusan.net/uploadImgs/files/cntnts/20240417173744613_ttiel,부산관광공사_VisitBusan,foodservice_and_visitbusan_content,yes,unknown,unknown,low,use_as_official_promotional_image,FoodService API + VisitBusan 공식 콘텐츠 이중 소스 확인. 공식 음식점 홍보 이미지 추정 기준 충족. 이미지 직접 검수 미실시 — 법적 라이선스 미확정.
busan-F-00036,옛날오막집,https://www.visitbusan.net/uploadImgs/files/cntnts/20240418090136482_ttiel,부산관광공사_VisitBusan,foodservice_and_visitbusan_content,yes,unknown,unknown,low,use_as_official_promotional_image,FoodService API + VisitBusan 공식 콘텐츠 이중 소스 확인. 공식 음식점 홍보 이미지 추정 기준 충족. 이미지 직접 검수 미실시 — 법적 라이선스 미확정.
busan-F-00037,평안도족발,https://www.visitbusan.net/uploadImgs/files/cntnts/20191219141936064_ttiel,부산관광공사_VisitBusan,foodservice_and_visitbusan_content,yes,unknown,unknown,low,use_as_official_promotional_image,FoodService API + VisitBusan 공식 콘텐츠 이중 소스 확인. 공식 음식점 홍보 이미지 추정 기준 충족. 이미지 직접 검수 미실시 — 법적 라이선스 미확정.
busan-F-00038,한우숯불양곱창,https://www.visitbusan.net/uploadImgs/files/cntnts/20200819165333332_ttiel,부산관광공사_VisitBusan,foodservice_and_visitbusan_content,yes,unknown,unknown,low,use_as_official_promotional_image,FoodService API + VisitBusan 공식 콘텐츠 이중 소스 확인. 공식 음식점 홍보 이미지 추정 기준 충족. 이미지 직접 검수 미실시 — 법적 라이선스 미확정.
