candidate_id,title_ko,content_type,address,review_status,category,subcategory,reason,canonical_id_ref,needs_new_category
busan-VB-2670,"서부산 쇼핑의 중심, 르네시떼",shopping,부산 사상구 광장로 7 르네시떼,ready_for_candidate,attraction,shopping_mall,"르네시떼, 독립 방문 가능한 복합쇼핑몰",,
busan-VB-2662,"부산의 분위기와 스토리를 담은 향수·라이프스타일 향 브랜드, 센티카",shopping,광안점: 부산 수영구 광안로 25 전포점: 부산 부산진구 전포대로199번길 12,ready_for_candidate,attraction,lifestyle_shop,"센티카, 향수·라이프스타일 브랜드샵, 주소 보유",,
busan-VB-2589,"무지개다리에서 시작하는 골동품 여행, 문현동 골동품거리",shopping,부산광역시 남구 자유평화로57번길 33,ready_for_candidate,attraction,shopping_street,"문현동 골동품거리, 거리형 쇼핑 명소",,
busan-VB-2581,바다처럼,shopping,부산 해운대구 우동1로38번길 15-1 1층,manual_review,,,"제목 ""바다처럼"" — 업종·장소 식별 불가, 주소만 존재",,
busan-VB-2580,"1987년부터 운영된 전통있는 주방용품 전문점, 삼영그릇 탐방기",shopping,부산 해운대구 구남로41번길 5,ready_for_candidate,attraction,specialty_shop,"삼영그릇, 1987년 운영 주방용품 전문점",,
busan-VB-2579,"달콤한 부산의 매력,",shopping,부산 해운대구 우동1로 13-29 1층,manual_review,,,"제목 미완성(""달콤한 부산의 매력,""), 주소는 있으나 업종 불명",,
busan-VB-2555,미피 덕후 모여라!,shopping,부산광역시 영도구 와치로51번길 2,ready_for_candidate,attraction,character_shop,"미피 캐릭터 전문샵, 영도구 주소 보유",,
busan-VB-2541,"청사포에서 인생샷 찍고 소품 쇼핑까지, 부산슈퍼 청사포점",shopping,부산광역시 해운대구 청사포로 120 2층,ready_for_candidate,attraction,retail_store,"부산슈퍼 청사포점, 라이프스타일 소품샵",,
busan-VB-2539,엽서가 주는 아날로그 감성을 느끼고 싶다면? ‘포셋 전포’로!,shopping,부산 부산진구 전포대로223번길 20 C동 202호,ready_for_candidate,attraction,specialty_shop,"포셋 전포, 엽서·아날로그 소품 전문 공간",,
busan-VB-2537,부드러운 색감과 감성 소품이 가득한 ‘오월상점’,shopping,부산 부산진구 전포대로209번길 9 1층,ready_for_candidate,attraction,lifestyle_shop,"오월상점, 감성 소품샵, 전포 주소 보유",,
busan-VB-2417,구경만 하러 갔다가 지갑을 열게 되는 소품샵 ‘오브젝트 서면점’,shopping,부산 부산진구 전포대로209번길 11,ready_for_candidate,attraction,retail_store,"오브젝트 서면점, 소품샵 체인",,
busan-VB-2398,딜라이트 프로젝트 해운대점,shopping,부산 해운대구 구남로 42 101호,ready_for_candidate,attraction,retail_store,"딜라이트 프로젝트 해운대점, 주소 보유",,
busan-VB-2252,"행복한 라이프스타일을 선물하는 소품샵, ‘페이퍼가든’",shopping,부산광역시 부산진구 전포대로210번길 8 2층,ready_for_candidate,attraction,lifestyle_shop,"페이퍼가든, 소품샵",,
busan-VB-2241,"부산의 매력을 가득 담은 도시브랜드숍, ‘BIG shop’",shopping,부산광역시 중구 광복로 87-1 부산광복동우체국,ready_for_candidate,attraction,souvenir_shop,"BIG shop, 부산 도시브랜드 기념품샵",,
busan-VB-2165,"키덜트들, 여기여기 모여라! 키덜트들의 방앗간, ‘아비베르컴퍼니’",shopping,부산 진구 동천로66 1층,ready_for_candidate,attraction,specialty_shop,"아비베르컴퍼니, 키덜트 전문샵",,
busan-VB-2141,(2024)부산관광기념품10선 3기,shopping,,exclude_non_place,,,"(2024)부산관광기념품10선 — 선정 리스트 콘텐츠, 특정 장소 아님",,
busan-VB-1964,갖고 싶은 소품이 모두 여기에! 광안리 최대 소품샵 분홍이네,shopping,부산광역시 수영구 광안로45번길 2 지하1층,ready_for_candidate,attraction,retail_store,"분홍이네, 광안리 소품샵",,
busan-VB-1736,(2022)부산관광기념품10선 2기,shopping,,exclude_non_place,,,(2022)부산관광기념품10선 — 선정 리스트 콘텐츠,,
busan-VB-1681,부산사이다,shopping,,exclude_non_place,,,"""부산사이다"" — 주소 없음, 브랜드 홍보 콘텐츠 추정",,
busan-VB-1669,여가~거가! 광안리,shopping,"부산광역시 수영구 광안해변로 219, 수영구생활문화센터 1층",reference_only,,,"""여가~거가! 광안리"" — 광안리 지역 가이드, 단일 장소 아님",,
busan-VB-1667,해운대 선물가게,shopping,"부산광역시 해운대구 해운대해변로 264, 1층",ready_for_candidate,attraction,souvenir_shop,"해운대 선물가게, 관광 기념품 판매점",,
busan-VB-1666,동백상회,shopping,"부산광역시 동구 중앙대로 210, 106호",ready_for_candidate,attraction,souvenir_shop,"동백상회, 동구 기념품점",,
busan-VB-1323,"트렌디함 물씬, 밀락더마켓",shopping,부산광역시 수영구 민락수변로17번길 56,ready_for_candidate,attraction,market,"밀락더마켓, 복합 쇼핑마켓",,
busan-VB-819,머물고 싶은 쇼핑센터 IKEA동부산점,shopping,부산광역시 기장군 기장읍 동부산관광3로 17,ready_for_candidate,attraction,shopping_mall,"IKEA 동부산점, 독립 방문형 대형매장",,
busan-VB-533,(2019)부산관광기념품10선 1기,shopping,,exclude_non_place,,,(2019)부산관광기념품10선 — 선정 리스트 콘텐츠,,
busan-VB-505,부산 백화점에 놀러가자!,shopping,,exclude_non_place,,,"""부산 백화점에 놀러가자!"" — 복수 장소 가이드, 주소 없음",,
busan-VB-504,"해외여행의 꽃, 면세점",shopping,,exclude_non_place,,,"""해외여행의 꽃, 면세점"" — 일반 면세점 가이드, 특정 장소 아님",,
