candidate_id,title_ko,content_type,address,previous_status,final_status,category,subcategory,merge_target_id,merge_target_type,enrich_fields,reason
busan-VB-2581,바다처럼,shopping,부산 해운대구 우동1로38번길 15-1 1층,manual_review,ready_for_candidate,attraction,retail_store,,,,"REVIEW-09: Instagram @pretty_whale.shop 확인. 고래 테마 소품·잡화 오프라인 판매점. 해운대구 우동1로38번길 15-1 1층 고정 점포 운영 → ready_for_candidate."
busan-VB-2579,"달콤한 부산의 매력,",shopping,부산 해운대구 우동1로 13-29 1층,manual_review,ready_for_candidate,restaurant,dessert_shop,,,,"REVIEW-09: busansand.co.kr 확인. 부산샌드(버터샌드 전문점). 해운대구 우동1로 13-29 1층 고정 매장 운영 → ready_for_candidate."
busan-VB-399,골목골목 와글와글 국제시장,shopping,부산광역시 중구 중구로 32,duplicate_suspected,merge_existing,,,busan-K-00058,canonical,"hours, phone, source_detail_url","국제시장: canonical busan-K-00058(국제시장, 중구 신창로4가 일원)과 동일 시장. VB hours/phone/URL로 보강 가능."
busan-VB-422,"동래여행의 깨알 즐거움, 동래시장",shopping,부산광역시 동래구 동래시장길 14,duplicate_suspected,ready_for_candidate,attraction,market,,,,"동래시장(동래구 동래시장길 14): canonical에서 ""동래시장"" 미발견. 실재하는 전통시장으로 신규 후보 유지."
busan-VB-412,오이소! 보이소! 사이소! 자갈치시장,shopping,부산광역시 중구 자갈치해안로 52,duplicate_suspected,merge_existing,,,busan-K-00057,canonical,"hours, phone, source_detail_url","자갈치시장: canonical busan-K-00057(부산 자갈치시장, 중구 자갈치해안로 52)과 주소+명칭 일치. 이전 참조 busan-E-00011은 자갈치축제(festival)로 오참조였음."
busan-VB-400,부산 먹방의 성지 부평깡통시장,shopping,부산광역시 중구 부평1길 48,duplicate_suspected,merge_existing,,,busan-K-00176,canonical,"hours, phone, source_detail_url","부평깡통시장: canonical busan-K-00176(부평깡통시장, 중구 부평1길 48)과 주소+명칭 완전 일치."
busan-VB-363,"어머, 구포장날은 꼭 가봐야 해!",shopping,부산광역시 북구 구포시장2길 7,duplicate_suspected,merge_existing,,,busan-K-00148,canonical,"hours, phone, source_detail_url","구포시장: canonical busan-K-00148(구포시장, 북구 구포시장2길 7)과 주소 완전 일치. 이전 참조 busan-A-00042는 구포어린이교통공원으로 오참조였음."
busan-VB-328,빛나는 서면시장,shopping,부산광역시 부산진구 서면로 56,duplicate_suspected,ready_for_candidate,attraction,market,,,,서면시장(진구 서면로 56): canonical에서 미발견. 실재하는 시장으로 신규 후보 유지.
busan-VB-327,기억의 장터 부전마켓타운,shopping,부산광역시 부산진구 중앙대로 786 10,duplicate_suspected,merge_existing,,,busan-K-00055,canonical,"hours, phone, source_detail_url",부전마켓타운: canonical busan-K-00055(부전마켓타운)와 명칭 완전 일치. VB 주소(중앙대로 786)와 canonical 주소(중앙대로755번길 21)는 동일 시장의 다른 입구.
busan-VB-300,영도 토박이 남항시장 & 봉래시장,shopping,남항시장 : 부산 영도구 영선동2가 245 봉래시장 : 부산 영도구 태종로 159-15,duplicate_suspected,merge_existing,,,busan-K-00190,canonical,"hours, phone, source_detail_url, address(봉래시장 추가)","남항시장: canonical busan-K-00190(남항시장, 영도구 절영로49번길 73-5)과 명칭 일치. VB 콘텐츠는 남항시장+봉래시장 묶음이나 주 시장은 남항시장으로 동일. 봉래시장 정보는 보강 필드로 기록."
busan-VB-294,텔레비전에 나온 시장맛집 해운대시장,shopping,부산 해운대구 중동1로 42-16,duplicate_suspected,ready_for_candidate,restaurant,food_market,,,,"해운대시장(해운대구 중동1로 42-16): canonical에서 미발견. VB 콘텐츠 ""텔레비전에 나온 시장맛집""으로 음식 중심 시장, restaurant/food_market 분류."
busan-VB-293,광안리 바다의 참맛 민락회타운,shopping,부산광역시 수영구 민락수변로 1,duplicate_suspected,ready_for_candidate,restaurant,seafood_market,,,,민락회타운(수영구 민락수변로 1): 이전 참조 busan-A-00026은 민락수변공원(공원)으로 완전 별개 장소. 민락회타운은 독립 수산 횟집 단지 → 신규 후보.
busan-VB-292,좌판의 힘 기장시장,shopping,부산 기장군 기장읍 대라리 72-3,duplicate_suspected,ready_for_candidate,attraction,market,,,,기장시장(기장군 기장읍 대라리 72-3): canonical에서 미발견. 실재하는 오일장/전통시장으로 신규 후보 유지.
busan-VB-2277,"자연의 편안함을 품은 료칸 호텔, ‘이제 부산’",experience,부산광역시 기장군 기장읍 연화길 70,duplicate_suspected,ready_for_candidate,accommodation,boutique_hotel,,,,"""이제 부산"" 료칸(기장군 기장읍 연화길 70): canonical에서 미발견. 기장 오션뷰 부티크 료칸 호텔. 독립 방문 숙박 시설."
